month,channel,sessions,signups,conversion_rate,avg_session_duration_sec,bounce_rate,pages_per_session
2024-04,Social (Organic),4121,33,0.82,328,0.51,4.4
2024-04,Social (Paid),3652,72,1.98,114,0.69,4.1
2024-04,Referral,1163,34,3.01,380,0.47,5.2
2024-04,Email,2590,53,2.05,130,0.65,3.2
2024-04,Affiliate,985,28,2.91,340,0.61,2.6
2024-04,Content Syndication,3020,84,2.8,312,0.62,3.1
2024-04,Developer Communities,4345,298,6.88,62,0.72,2.3
2024-05,Organic Search,22662,885,3.91,313,0.46,4.7
2024-05,Paid Search,10982,531,4.84,384,0.39,4.4
2024-05,Direct,6462,421,6.52,290,0.37,1.9
2024-05,Social (Organic),2154,29,1.35,118,0.45,5.3
2024-05,Social (Paid),2566,22,0.88,77,0.5,3.1
2024-05,Referral,2093,65,3.11,135,0.73,2.8
2024-05,Email,2629,57,2.19,173,0.68,1.6
2024-05,Affiliate,1568,52,3.32,145,0.63,3
2024-05,Content Syndication,2550,71,2.82,72,0.38,3.4
2024-05,Developer Communities,4128,349,8.46,203,0.36,5.2
2024-06,Organic Search,19702,683,3.47,119,0.47,3.5
2024-06,Paid Search,12602,584,4.64,291,0.4,2.3
2024-06,Direct,5094,298,5.87,243,0.6,2.8
2024-06,Social (Organic),2774,28,1.02,383,0.49,1.5
2024-06,Social (Paid),3576,61,1.73,355,0.71,3.6
2024-06,Referral,2118,43,2.03,63,0.51,3.2
2024-06,Email,2105,61,2.91,151,0.58,3.5
2024-06,Affiliate,3899,94,2.42,160,0.51,2.1
2024-06,Content Syndication,2671,68,2.55,232,0.55,4.9
2024-06,Developer Communities,5555,442,7.96,367,0.51,2.8
2024-07,Organic Search,30498,885,2.9,252,0.75,2
2024-07,Paid Search,8385,429,5.12,294,0.62,4.4
2024-07,Direct,5653,291,5.15,155,0.66,3.3
2024-07,Social (Organic),4419,41,0.94,386,0.63,2.2
2024-07,Social (Paid),2792,32,1.18,126,0.69,5
2024-07,Referral,3271,71,2.19,415,0.66,3.9
2024-07,Email,2351,59,2.53,186,0.49,5.5
2024-07,Affiliate,1512,31,2.1,241,0.71,2.2
2024-07,Content Syndication,1731,65,3.81,231,0.64,5.2
2024-07,Developer Communities,4291,316,7.38,213,0.59,1.7
2024-08,Organic Search,30667,1146,3.74,154,0.68,2.1
2024-08,Paid Search,9138,459,5.03,83,0.4,3.4
2024-08,Direct,6479,329,5.09,217,0.59,5.2
2024-08,Social (Organic),3509,69,1.98,217,0.36,1.6
2024-08,Social (Paid),6695,65,0.98,356,0.64,4.3
2024-08,Referral,3472,112,3.23,67,0.47,3.4
2024-08,Email,3323,118,3.57,323,0.69,4.1
2024-08,Affiliate,1593,40,2.55,253,0.46,2.3
2024-08,Content Syndication,1661,63,3.82,217,0.47,2.9
2024-08,Developer Communities,3394,328,9.69,363,0.68,1.9
2024-09,Organic Search,20276,524,2.58,300,0.6,2.4
2024-09,Paid Search,12555,540,4.3,90,0.46,4.4
2024-09,Direct,8706,655,7.53,88,0.53,4.5
2024-09,Social (Organic),3937,70,1.79,130,0.67,2.9
2024-09,Social (Paid),5002,62,1.25,80,0.39,2.6
2024-09,Referral,1932,70,3.62,322,0.74,2.6
2024-09,Email,1028,35,3.41,121,0.67,2.6
2024-09,Affiliate,2477,92,3.74,308,0.4,4.3
2024-09,Content Syndication,3170,107,3.39,60,0.49,2.2
2024-09,Developer Communities,7478,592,7.92,338,0.4,3.2
2024-10,Organic Search,19032,743,3.91,125,0.54,2.8
2024-10,Paid Search,7667,300,3.92,134,0.52,4.4
2024-10,Direct,8889,666,7.5,413,0.64,3.6
2024-10,Social (Organic),3940,54,1.38,76,0.66,4.5
2024-10,Social (Paid),3175,51,1.62,156,0.52,4.9
2024-10,Referral,2670,100,3.77,267,0.44,3.7
2024-10,Email,1613,49,3.06,367,0.51,4.5
2024-10,Affiliate,2128,77,3.63,404,0.37,4.7
2024-10,Content Syndication,1452,56,3.92,287,0.65,4.6
2024-10,Developer Communities,4868,445,9.15,169,0.51,2.6
2024-11,Organic Search,25004,742,2.97,369,0.56,2.7
2024-11,Paid Search,13409,651,4.86,383,0.46,1.5
2024-11,Direct,6116,353,5.79,159,0.44,4.6
2024-11,Social (Organic),4371,64,1.47,239,0.62,1.8
2024-11,Social (Paid),4173,64,1.54,197,0.7,3.2
2024-11,Referral,2555,84,3.29,172,0.63,2
2024-11,Email,2820,108,3.84,148,0.45,4.2
2024-11,Affiliate,3684,81,2.21,238,0.42,4.3
2024-11,Content Syndication,3184,71,2.25,118,0.74,2
2024-11,Developer Communities,7135,634,8.89,281,0.5,1.7
2024-12,Organic Search,19758,677,3.43,341,0.54,2.7
2024-12,Paid Search,12835,682,5.32,110,0.4,1.7
2024-12,Direct,7831,427,5.46,371,0.75,3.6
2024-12,Social (Organic),2606,50,1.92,69,0.36,2
2024-12,Social (Paid),3112,37,1.2,300,0.49,4.5
2024-12,Referral,3947,101,2.58,326,0.62,1.5
2024-12,Email,2788,108,3.87,288,0.66,3.2
2024-12,Affiliate,2447,51,2.12,325,0.67,5.4
2024-12,Content Syndication,2959,112,3.8,363,0.55,3.8
2024-12,Developer Communities,8605,617,7.18,117,0.67,2.2
2025-01,Organic Search,22029,847,3.85,286,0.58,5.4
2025-01,Paid Search,14452,676,4.68,266,0.48,3.6
2025-01,Direct,7724,411,5.33,368,0.63,4.7
2025-01,Social (Organic),3879,33,0.86,173,0.61,4.4
2025-01,Social (Paid),3605,43,1.2,352,0.62,1.7
2025-01,Referral,2084,74,3.6,281,0.35,4
2025-01,Email,2671,106,3.99,332,0.74,4
2025-01,Affiliate,2207,53,2.42,118,0.65,1.6
2025-01,Content Syndication,3875,102,2.64,416,0.59,4.3
2025-01,Developer Communities,5997,385,6.43,261,0.7,4.1
2025-02,Organic Search,26659,870,3.26,196,0.59,2.2
2025-02,Paid Search,14695,521,3.55,193,0.59,4.9
2025-02,Direct,6636,465,7.02,144,0.74,4.3
2025-02,Social (Organic),2165,19,0.91,311,0.69,4
2025-02,Social (Paid),4438,72,1.64,360,0.67,2.5
2025-02,Referral,2432,60,2.48,316,0.43,2.2
2025-02,Email,3146,110,3.52,402,0.54,2.6
2025-02,Affiliate,4317,160,3.72,311,0.47,5
2025-02,Content Syndication,1316,30,2.34,367,0.4,4.3
2025-02,Developer Communities,3361,274,8.17,398,0.62,4.3
2025-03,Organic Search,26613,1010,3.8,121,0.42,3.2
2025-03,Paid Search,9898,458,4.63,319,0.73,3.4
2025-03,Direct,7614,568,7.46,278,0.36,1.5
2025-03,Social (Organic),2724,46,1.7,167,0.7,1.9
2025-03,Social (Paid),2514,45,1.8,388,0.55,4.6
2025-03,Referral,2117,57,2.7,216,0.37,2.1
2025-03,Email,2695,99,3.69,139,0.53,3.6
2025-03,Affiliate,4150,137,3.3,396,0.6,2
2025-03,Content Syndication,2833,83,2.95,244,0.65,3.8
2025-03,Developer Communities,6980,500,7.18,286,0.41,2.9
2025-04,Organic Search,23475,646,2.76,199,0.68,3.7
2025-04,Paid Search,10889,593,5.45,340,0.54,5.3
2025-04,Direct,9316,490,5.27,287,0.42,1.8
2025-04,Social (Organic),5849,88,1.51,363,0.73,3.5
2025-04,Social (Paid),3642,66,1.82,73,0.53,2.3
2025-04,Referral,2170,61,2.85,97,0.56,2.9
2025-04,Email,3408,92,2.7,375,0.73,5.1
2025-04,Affiliate,4232,98,2.33,283,0.58,2.5
2025-04,Content Syndication,1620,61,3.82,245,0.47,2
2025-04,Developer Communities,3296,238,7.23,314,0.64,1.7
2025-05,Organic Search,22649,708,3.13,287,0.36,4.1
2025-05,Paid Search,13148,479,3.64,104,0.61,3.2
2025-05,Direct,6463,437,6.76,201,0.69,2
2025-05,Social (Organic),3001,34,1.13,236,0.63,3.3
2025-05,Social (Paid),3861,73,1.89,373,0.5,5.3
2025-05,Referral,1354,45,3.37,241,0.67,5.5
2025-05,Email,2441,53,2.2,234,0.47,1.6
2025-05,Affiliate,1787,36,2.05,360,0.71,4.4
2025-05,Content Syndication,3260,70,2.17,362,0.51,3.5
2025-05,Developer Communities,7096,689,9.71,72,0.36,2
2025-06,Organic Search,30081,760,2.53,223,0.67,2
2025-06,Paid Search,13240,712,5.38,316,0.74,5.5
2025-06,Direct,7419,401,5.42,318,0.52,2.7
2025-06,Social (Organic),5441,104,1.91,182,0.64,1.5
2025-06,Social (Paid),6441,79,1.23,396,0.42,4.1
2025-06,Referral,3586,133,3.71,295,0.45,5.3
2025-06,Email,3869,97,2.53,238,0.55,4.7
2025-06,Affiliate,3772,107,2.85,67,0.53,4.6
2025-06,Content Syndication,3723,121,3.27,304,0.51,3.1
2025-06,Developer Communities,3235,264,8.17,376,0.46,5.3
2025-07,Organic Search,21959,838,3.82,256,0.4,4.9
2025-07,Paid Search,13936,598,4.3,111,0.67,4.9
2025-07,Direct,7631,603,7.91,108,0.52,3.1
2025-07,Social (Organic),5025,74,1.48,255,0.66,4.8
2025-07,Social (Paid),2734,35,1.3,116,0.7,3.4
2025-07,Referral,1704,36,2.16,192,0.53,2.6
2025-07,Email,1252,36,2.89,314,0.46,4.9
2025-07,Affiliate,3151,79,2.54,167,0.49,1.7
2025-07,Content Syndication,1847,65,3.54,315,0.36,4.7
2025-07,Developer Communities,3856,351,9.1,74,0.62,4.9
2025-08,Organic Search,29489,1063,3.61,104,0.65,3.7
2025-08,Paid Search,10212,370,3.63,124,0.61,3.2
2025-08,Direct,8652,660,7.64,164,0.55,2.1
2025-08,Social (Organic),6655,86,1.3,188,0.58,5.1
2025-08,Social (Paid),2916,56,1.94,86,0.55,4.1
2025-08,Referral,1477,54,3.69,318,0.69,1.6
2025-08,Email,3569,128,3.6,290,0.52,3.4
2025-08,Affiliate,1105,26,2.44,187,0.74,4.7
2025-08,Content Syndication,3916,152,3.89,170,0.49,3
2025-08,Developer Communities,6532,534,8.19,157,0.47,5.2
2025-09,Organic Search,22059,789,3.58,103,0.52,2.4
2025-09,Paid Search,14836,650,4.38,203,0.73,3.4
2025-09,Direct,7670,478,6.24,302,0.57,3.7
2025-09,Social (Organic),6277,63,1.01,269,0.67,5.3
2025-09,Social (Paid),5647,79,1.41,126,0.37,2.8
2025-09,Referral,2435,77,3.19,206,0.41,1.5
2025-09,Email,1549,61,3.97,365,0.58,2.8
2025-09,Affiliate,2753,67,2.45,359,0.36,4.7
2025-09,Content Syndication,1794,46,2.59,149,0.74,3.9
2025-09,Developer Communities,4102,314,7.66,292,0.68,2.8
2025-10,Organic Search,20323,661,3.26,394,0.62,2.4
2025-10,Paid Search,13155,593,4.51,107,0.52,5.1
2025-10,Direct,8898,585,6.58,224,0.71,4.8
2025-10,Social (Organic),3716,63,1.7,284,0.73,4.8
2025-10,Social (Paid),2694,34,1.28,211,0.61,3.2
2025-10,Referral,1550,54,3.49,335,0.5,5.4
2025-10,Email,1974,42,2.16,272,0.47,2.1
2025-10,Affiliate,3033,86,2.86,174,0.36,4
2025-10,Content Syndication,1791,39,2.21,234,0.63,4.5
2025-10,Developer Communities,6168,606,9.83,161,0.48,2.3
2025-11,Organic Search,21699,782,3.6,217,0.56,5.1
2025-11,Paid Search,8142,381,4.68,224,0.4,3.1
2025-11,Direct,7902,455,5.76,113,0.36,3.6
2025-11,Social (Organic),6076,57,0.95,132,0.46,4.6
2025-11,Social (Paid),6403,62,0.97,85,0.42,3.2
2025-11,Referral,1898,55,2.94,368,0.4,2.9
2025-11,Email,2385,50,2.12,283,0.49,2.8
2025-11,Affiliate,1712,38,2.27,60,0.41,4.6
2025-11,Content Syndication,3087,77,2.52,109,0.57,4.5
2025-11,Developer Communities,4572,414,9.07,267,0.43,3.1
2025-12,Organic Search,30549,922,3.02,359,0.38,4.5
2025-12,Paid Search,12105,563,4.65,83,0.75,2
2025-12,Direct,7648,543,7.11,395,0.61,2.8
2025-12,Social (Organic),4568,82,1.81,391,0.61,1.5
2025-12,Social (Paid),4840,93,1.93,392,0.58,5.2
2025-12,Referral,2802,75,2.7,415,0.45,5
2025-12,Email,2775,62,2.25,229,0.61,3.3
2025-12,Affiliate,1756,37,2.12,72,0.36,4.3
2025-12,Content Syndication,3169,126,3.99,279,0.39,3.3
2025-12,Developer Communities,4377,405,9.27,105,0.64,4.8
